,BMI,,,FWD,,,EGGF,,,EGGP,,,TOD,,,STAI,,,LM,,,LFP,,,HFP,,,RAT,,,STDEGG,,,
areasNames,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,
'L_10r_ROI',"3,952","-1,528","0,132","5,784","-0,883","0,381","5,898","-0,725","0,472","7,640","0,424","0,673","7,926","0,006","0,996","7,751","0,014","0,989","7,290","-0,148","0,883","6,887","0,269","0,789","5,949","-0,148","0,883","7,992","-0,505","0,616","3,789","-1,146","0,256","53,000"
'L_9m_ROI',"8,013","-0,833","0,408","7,960","-0,071","0,944","7,668","-0,104","0,918","4,070","1,275","0,207","3,267","0,994","0,324","5,171","0,590","0,558","7,608","-0,178","0,859","7,023","0,109","0,914","6,180","-0,178","0,859","2,397","1,664","0,102","4,496","-1,020","0,312","54,000"
'L_10d_ROI',"4,492","-1,697","0,095","7,991","-0,079","0,937","4,584","-0,646","0,521","3,921","1,210","0,231","7,975","-0,013","0,989","7,911","-0,079","0,937","9,357","-0,669","0,507","2,919","1,097","0,278","0,790","-0,669","0,507","7,385","0,196","0,846","2,528","-1,424","0,160","55,000"
'L_6r_ROI',"0,584","2,008","0,049","2,717","1,174","0,245","8,715","0,559","0,578","7,991","0,178","0,859","1,894","-1,827","0,073","7,135","-0,721","0,474","6,914","0,149","0,882","4,737","-1,094","0,279","3,811","0,149","0,882","4,268","0,911","0,367","2,679","1,866","0,067","56,000"
'L_a9-46v_ROI',"7,008","0,361","0,719","4,225","0,740","0,462","2,467","-1,202","0,234","5,769","-0,672","0,504","9,137","1,224","0,226","6,032","0,597","0,553","7,665","-0,455","0,651","2,526","1,396","0,169","2,821","-0,455","0,651","2,004","1,807","0,077","3,656","0,915","0,364","57,000"
'L_9-46d_ROI',"8,594","-0,400","0,691","4,116","1,029","0,308","8,328","0,358","0,722","6,699","0,687","0,494","9,013","0,873","0,386","2,205","1,524","0,133","5,331","-1,273","0,209","6,192","0,463","0,645","5,570","-1,273","0,209","3,965","1,093","0,280","10,037","-0,501","0,618","58,000"
'L_10v_ROI',"7,764","-2,015","0,048","6,333","0,495","0,622","7,339","0,349","0,728","7,236","0,680","0,499","8,094","-0,212","0,833","7,537","0,084","0,934","7,471","-0,261","0,796","3,312","1,607","0,114","1,551","-0,261","0,796","5,651","0,842","0,404","0,711","-2,086","0,041","59,000"
'L_a10p_ROI',"3,393","-0,998","0,322","2,927","-1,527","0,132","7,772","-0,106","0,916","8,002","-0,133","0,895","7,781","0,199","0,843","7,568","-0,147","0,884","1,528","-1,769","0,083","0,100","2,693","0,010","0,040","-1,769","0,083","1,575","1,806","0,077","4,480","-0,870","0,388","60,000"
'L_10pp_ROI',"3,490","-1,394","0,168","7,983","0,455","0,651","7,862","0,786","0,435","7,860","0,228","0,820","5,638","-0,923","0,359","3,394","-1,250","0,216","2,026","-1,646","0,106","7,045","0,268","0,790","7,195","-1,646","0,106","6,929","0,286","0,776","5,894","-1,355","0,180","61,000"
'L_11l_ROI',"5,038","-1,086","0,282","7,807","0,150","0,881","5,111","1,076","0,286","7,936","-0,002","0,999","8,014","0,039","0,969","7,247","-0,378","0,707","0,949","-1,774","0,082","0,827","2,051","0,045","1,599","-1,774","0,082","1,513","1,737","0,088","0,658","-2,173","0,034","62,000"
'L_6a_ROI',"7,300","-0,349","0,728","4,450","1,187","0,240","4,238","-1,440","0,155","5,960","0,800","0,427","6,441","-0,452","0,653","1,956","1,749","0,086","6,228","-0,255","0,800","7,009","0,255","0,800","6,039","-0,255","0,800","0,875","1,746","0,087","6,899","1,196","0,236","63,000"
'L_i6-8_ROI',"7,319","-0,174","0,863","1,774","2,024","0,047","7,227","-0,287","0,775","7,055","-0,310","0,758","7,953","0,047","0,962","7,124","-0,410","0,683","4,679","-0,844","0,403","4,716","-0,871","0,388","4,864","-0,844","0,403","0,707","2,334","0,024","1,773","2,402","0,019","64,000"
'L_43_ROI',"2,390","0,949","0,346","8,264","-0,049","0,961","9,000","0,200","0,843","8,302","0,143","0,887","0,663","-1,885","0,064","5,591","0,842","0,403","9,664","-1,544","0,129","5,740","0,738","0,464","4,509","-1,544","0,129","5,774","0,974","0,335","8,856","-0,145","0,886","65,000"
